"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"GUANIDOACETIC ACID (GLYCOCYAMINE)"	"GUANINE"	"GUANOSINE"	"HEXANOIC ACID"	"HYPOXANTHINE"	"L-ALANINE"	"L-ARGININE"	"L-PIPECOLIC ACID"	"L-PROLINE"	"LAUROYLCARNITINE"
"M24h0.0a"	"Mature"	"24h"	0	"a"	17.3676671182659	20.7902681570126	57.1487362432291	199.57769173111	22115.5140830556	48.5999769269429	90.6673999610093	8.48642239517668	189.12547141272	112.852910051562
"M24h0.0b"	"Mature"	"24h"	0	"b"	15.4460360716498	19.5527357358298	54.1585277774384	180.200082054637	20711.1948748262	44.068835654453	66.7296388566323	6.51639572658929	152.423716316965	87.9758847041606
"M24h0.0c"	"Mature"	"24h"	0	"c"	30.1644499100187	38.4541411909759	122.716851865643	208.666837801657	28047.4612689575	50.022506014653	7.14288129743179	1.88188963518464	89.6478828819155	7.24246202594686
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	16.3458931899728	22.0334918220394	60.3124558974623	200.638509189252	20542.1826546818	53.3977657062937	109.761150919131	8.20514480851888	159.136894079914	58.2234414838725
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	17.0969522475083	21.0624263603933	66.9749125332233	208.997852751027	19885.8236523446	39.486760549941	22.6008969492936	5.56333551495602	94.1302125716518	72.3155783648406
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	23.7199290770821	38.0438843050322	107.749952795537	290.527856344126	24269.8806890664	49.1172729218731	46.5907157490058	5.46929631134281	82.2345433001367	87.7325589166674
"M24h1.0a"	"Mature"	"24h"	1	"a"	11.1528458037932	15.1586096015958	44.484566050405	180.041408534537	15767.3546059859	38.8643677694828	63.229908208985	12.3798850815513	115.256187799764	76.0065546588413
"M24h1.0b"	"Mature"	"24h"	1	"b"	14.1494719509876	23.6363153059311	82.4231330905242	201.282714269739	21081.7472087104	52.1895626125305	63.9646339123537	8.32047357508026	143.412121872266	66.0197528727415
"M24h1.0c"	"Mature"	"24h"	1	"c"	16.7254011666982	42.4918004202595	119.464924751347	292.82181412842	22312.2085590671	41.5131995308924	14.6808568652362	3.10888410784765	78.8433375950878	72.5874007409423
"M10d0.0a"	"Mature"	"10d"	0	"a"	10.863199574993	49.4440502532261	136.894266285553	217.980295861996	21228.5434591503	50.2862124536123	18.7175189930108	7.94201484384841	133.357924957299	178.435889049019
"M10d0.0b"	"Mature"	"10d"	0	"b"	32.6592165202162	50.390370660847	163.4285634571	217.589412908069	26228.2358799277	45.5494936684693	30.7957975096944	6.12953386752481	120.800878541851	73.5299103505705
"M10d0.0c"	"Mature"	"10d"	0	"c"	10.5499185950574	32.9092985306218	112.826367839743	231.32870274234	21830.3905266392	53.4819665392092	47.5466885845273	4.36699718942276	218.511535823208	127.313450856439
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	13.836750916843	39.521186653977	100.841645529071	264.118939648928	21851.0903031666	52.1321032451878	42.0499732826631	3.0269578976356	121.873374753062	69.737955270176
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	12.8092606420533	45.7098067638936	140.320891028989	212.60510817685	24908.6830010917	55.4890358921029	53.6599653623172	4.58910644302182	154.329222142638	79.9728899327602
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	13.6497349843564	52.6310155505807	170.328673568332	231.098455450247	27255.9972291499	55.8760875245135	35.8079604174603	5.86538863914646	150.813277328166	60.6377369729875
"M10d1.0a"	"Mature"	"10d"	1	"a"	6.4505461855361	54.9905170630472	167.988781775711	201.828884000531	29926.6351665049	50.1873318435768	132.188837821116	2.92810983982349	74.322105319958	66.7327513918827
"M10d1.0b"	"Mature"	"10d"	1	"b"	8.66299907817938	53.0090859650921	164.957717105116	187.080139624314	24081.0434834647	52.2150807279373	75.2773054684012	3.04864523755364	79.0364912929616	62.7896060212491
"M10d1.0c"	"Mature"	"10d"	1	"c"	7.27495170654828	36.975679035888	135.297363123956	330.651017516382	21253.5893314939	50.6529218270363	39.8838762458718	6.9994077287454	62.1973721204333	59.5982939353008
