"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"ETHYLMALONIC ACID"	"LAURIC ACID"	"MALEIC ACID"	"N-ACETYL-DL-METHIONINE"	"N-ACETYL-L-PHENYLALANINE"	"RIBOFLAVIN"	"SEBACIC ACID"	"SUBERIC ACID"	"SUCCINIC ACID"	"URIDINE DIPHOSPHATE GLUCOSE"
"M24h0.0a"	"Mature"	"24h"	0	"a"	4.224506522191	6.34112991597379	6.94704661001076	11.8577961126846	20.9002066165504	10.7072998478329	24.6205020957477	10.5960878556935	95.9885935802561	99.7641168342083
"M24h0.0b"	"Mature"	"24h"	0	"b"	4.87759989950704	5.32336140543048	7.56248683309139	12.9009829155293	19.6571330184901	8.18834657707693	30.4380203070489	10.7686157405086	99.4249685226949	84.3605873113396
"M24h0.0c"	"Mature"	"24h"	0	"c"	4.39446390179662	5.84671720407729	6.13067534074344	18.9757817890079	19.4855965537189	8.06910851785511	28.2938306369912	7.59109380354985	107.906548842674	78.9313412345058
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	4.01557734083168	7.57895752184021	6.56123968581988	11.4432305860705	16.0474762204524	9.18887518920929	26.4353119652868	8.7419791684355	95.9989560773172	84.8838051559586
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	3.20538963351611	5.20928029474462	6.51778120568156	10.4980769190158	13.9396268435459	8.78380585158439	23.587139931485	8.80437694662337	60.39735965325	55.7639089142956
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	4.38298152146385	9.8002191155688	8.64660683504597	18.9187139735468	13.1748314543673	9.51123261049765	26.5146252023374	7.72826350747174	90.0354407002186	76.6252075334098
"M24h1.0a"	"Mature"	"24h"	1	"a"	3.50018156440956	6.73543934818305	5.13606163197925	9.30934264058119	11.7373172694684	7.34345118571389	25.140316535489	6.90298047945202	57.8616961406872	57.1598717024537
"M24h1.0b"	"Mature"	"24h"	1	"b"	4.5708932901294	11.1676806488623	7.28966129673803	12.6776107225846	16.3539135476875	8.64994610362158	27.1026000316033	10.3785685699839	75.2233487567677	67.4266336826758
"M24h1.0c"	"Mature"	"24h"	1	"c"	3.67591239503316	7.93270729348065	5.51332874971371	19.4097974622496	11.537803229713	7.04536925476851	25.0978044314917	6.91508152252398	66.4948229594259	48.8482710316373
"M10d0.0a"	"Mature"	"10d"	0	"a"	4.96445057056186	4.84522437801244	11.0764144935833	10.8263875233797	12.5838435258107	11.029443014136	24.3146902693616	6.38648306245689	116.24124974733	89.7903453763297
"M10d0.0b"	"Mature"	"10d"	0	"b"	3.99112729861449	10.4363702365444	10.0977206362757	28.8562066101837	11.9871157335838	8.18203210002516	29.5255509118817	9.92940890964796	48.2228446560147	27.4469990056537
"M10d0.0c"	"Mature"	"10d"	0	"c"	5.92571609146287	8.40411109884151	12.0021825724618	31.2045116838003	14.9183472628564	8.97942591107306	24.4470996481878	8.20133238739581	111.874527619251	82.5289280939494
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	4.45285397357949	7.3853123722612	7.55704188975684	21.4145238275754	12.1386749808132	8.29395000205823	22.5011714766068	8.93530796541809	67.6733588124164	68.9672682667637
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	6.67987096261407	7.36751676235066	11.7355525589236	30.9093190670745	14.0438167970939	10.052742416398	30.2359456872464	9.2546888379106	74.2385344299206	74.3373914566611
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	6.18414852036375	11.3639561886593	8.94440006129637	36.5624131303028	10.6036891514068	10.2386569741319	28.8134481940497	18.3645256633184	80.5926371090251	87.5247427819871
"M10d1.0a"	"Mature"	"10d"	1	"a"	4.03606824671614	6.85491104542922	2.66948318765865	26.1354314070713	8.9247237020079	7.71350386224915	25.79226000003	7.69735404203119	29.3742692144233	89.8832619844319
"M10d1.0b"	"Mature"	"10d"	1	"b"	5.98785546734794	5.63750105426961	4.54102894159192	36.4881891504486	10.9112387320792	11.5045007520728	25.2708684411249	10.2085183871612	51.7519979926167	74.8359671541923
"M10d1.0c"	"Mature"	"10d"	1	"c"	3.47973893212092	4.06815235908606	2.95464959625088	25.7303695610852	7.71970070132575	7.22880394302696	25.5808444072294	7.93151261629254	49.9489675157389	59.8375712745228
