"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"ADENOSINE"	"D-FRUCTOSE"	"D-RIBOSE"	"D-SPHINGOSINE"	"HEXANOYL-L-CARNITINE"	"L-ALLOTHREONINE"	"L-ISOLEUCINE"	"LINOLEIC ACID"	"OLEIC ACID"	"PETROSELINIC ACID"
"M24h1.0a"	"Mature"	"24h"	1	"a"	1862.82597157733	141.164375391395	19.1204480693451	151.307528637576	24.2190008278775	47.769313868126	712.745700798635	24.4607475813793	107.749781275877	36.4584585957905
"M24h1.0b"	"Mature"	"24h"	1	"b"	2009.23998852615	177.763056672046	23.9874403868732	158.742582277483	26.3057240411738	52.0909464505244	1157.09397197893	41.7499201218306	155.524292617815	31.1222249742981
"M24h1.0c"	"Mature"	"24h"	1	"c"	2146.57372018722	181.386605359045	29.0701548963331	182.940673861768	24.7777100331227	32.9644398433233	1131.68847352763	33.3678649003477	146.683055638155	35.5116136723288
"M10d0.0a"	"Mature"	"10d"	0	"a"	4921.29696927844	124.710808300415	78.9697822271295	165.405860009114	96.1255827203463	39.9845935305406	612.737879429559	34.193389992393	100.510732002448	39.502221746084
"M10d0.0b"	"Mature"	"10d"	0	"b"	4292.82833433668	142.17664999607	141.424794553065	136.64155645167	54.3273888596395	31.1358603021251	572.432070127154	24.5167075769634	114.723445835858	36.5820218477865
"M10d0.0c"	"Mature"	"10d"	0	"c"	1165.37405967616	88.012309116194	32.6578615898521	108.411372232379	75.2947214460806	54.3135044627239	761.898004840772	26.7336876878313	104.951673402509	33.3714699112392
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	2631.86832747274	126.318402116287	31.8171732956033	107.558840361623	46.1287782118498	37.6457578150747	659.82345109788	32.6374063540387	98.1564588660939	40.8538663550062
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	2824.09136824545	111.029949460629	52.5337633345114	127.257423564808	10.1911284695264	43.3995278656471	661.050449960618	27.8784694208655	105.621251323149	26.1309691070094
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	2442.179317859	107.452599380721	98.6245974893452	126.299678179807	48.1645369562691	43.6181637836519	597.742435595242	24.6791965365046	127.844111618683	32.0198018507292
"M10d1.0a"	"Mature"	"10d"	1	"a"	2615.46678124128	167.96578265111	52.5442515513653	145.302334943487	37.0580342600855	37.1114407693306	426.269456004803	29.1601466429324	112.499555567127	39.3854177020254
"M10d1.0b"	"Mature"	"10d"	1	"b"	1530.73177400021	118.231104151488	53.8740332250517	137.094796295742	68.9471759864047	45.9076912040449	638.367181511916	27.6875002305516	128.192866484285	42.3047145003004
"M10d1.0c"	"Mature"	"10d"	1	"c"	1100.09583954142	107.239539821457	36.6041207337302	134.261191613462	62.1187473139485	34.554032146375	349.489568578526	25.0127918742056	117.986087601782	32.992741768218
