"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"NICOTINIC ACID (NIACIN)"	"O-SUCCINYL-L-HOMOSERINE"	"PARAXANTHINE (1,7-DIMETHYLXANTHINE)"	"PYRROLE-2-CARBOXYLIC ACID"	"VITAMIN D2"	"1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE"	"4-HYDROXY-L-PROLINE"	"5-HYDROXYMETHYLURACIL"	"5-VALEROLACTONE"	"ACETOACETIC ACID"
"M24h1.0a"	"Mature"	"24h"	1	"a"	3.71021716280485	1.61691330824287	1.66493418038104	2.33234615307804	27.4057716547002	29.2736564239199	6.84889797908678	72.4449532546826	5.68095984024299	36.0953977250714
"M24h1.0b"	"Mature"	"24h"	1	"b"	3.57708091645636	2.09670694299198	1.53419096698809	3.92553998041801	11.0328247932408	20.5734741364489	9.2222715003825	152.715037562686	5.34321682872165	35.6302202103041
"M24h1.0c"	"Mature"	"24h"	1	"c"	3.32227532718477	1.83858365963739	1.76702516623439	4.19475002694031	14.3446466196516	11.723647948436	5.3801536230849	175.128567308413	5.47333289731012	67.7596549344668
"M10d0.0a"	"Mature"	"10d"	0	"a"	11.1072095888946	1.839185543718	0.603120704246426	7.50424911664964	9.83646899568363	20.735938715197	10.1212580273396	927.207369751905	8.03712924131723	42.0221610461141
"M10d0.0b"	"Mature"	"10d"	0	"b"	11.9774956793386	3.17417162623322	1.05413248831811	7.59959438851429	14.6052721475282	25.1088371258021	7.81175105282786	828.606686906538	11.6610094465422	30.2990416330645
"M10d0.0c"	"Mature"	"10d"	0	"c"	18.7015458461273	1.69849534486547	1.6105236999983	9.92949780221286	17.5504253724488	50.1089427753714	8.00318882765466	636.340535361835	3.66742079962535	21.9872591773528
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	9.16429115400361	1.67668009441878	1.21218121008971	8.05412167331358	12.4148359733516	41.1459203281512	6.33869400036931	727.295350662493	9.85142989301655	20.9969614294988
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	13.9830620613767	1.93486787090877	1.02814282208423	6.65237421380263	15.0454474038184	46.622983920866	4.51247574544853	1029.10887810885	6.06997786323269	23.5204571858818
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	15.3737583143016	3.17480489635462	1.33031931819004	9.85555372538412	18.1356258411319	55.0699631776489	7.87239150145262	1035.51030261489	7.92836652165732	27.8704812193374
"M10d1.0a"	"Mature"	"10d"	1	"a"	5.16785650651887	4.66584495226425	1.52788225990795	7.72076428592267	7.62884572192221	29.6495616386547	4.66590179367769	313.699333355877	7.47722433893473	22.6664795653036
"M10d1.0b"	"Mature"	"10d"	1	"b"	19.6360812643518	3.38126837656171	1.15434686978118	7.13177824452341	22.1867726442732	55.3099376076624	5.02852077405391	812.689403498152	7.88646091712562	25.1257440623262
"M10d1.0c"	"Mature"	"10d"	1	"c"	14.4706013857334	2.25523782479497	1.34322711082859	9.64335325104727	19.5514772754009	43.9372263427117	3.44564706268145	610.728700331463	5.59010530177829	29.341725551522
