"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"N-ALPHA-ACETYL-L-ASPARAGINE"	"PALATINOSE"	"PANTOLACTONE"	"PENTANOIC ACID"	"SUCROSE"	"TAURINE"	"THYMIDINE"	"THYROTROPIN RELEASING HORMONE"	"URACIL"	"URIDINE"
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	28.9495181761344	10299.4495432609	627.035767132971	3.4855367363358	159230.945908727	5760.40296905653	131.221327298528	1.66799321337857	45.1956032065447	461.883333086284
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	30.4911318053616	10051.2244849346	512.158637649204	2.37175383171839	143415.053382971	5107.75716179502	95.6572986175591	5.22476091276786	56.6067023062034	359.619607079527
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	42.2444754067571	9821.32174041162	623.612284963028	3.53328885059907	139867.251576922	6176.64480477146	189.514383515241	8.53226131947421	85.1148165083766	781.676501829408
"I10d1.0a"	"Immature"	"10d"	1	"a"	21.9371186597862	11199.345913639	613.968832279313	2.02077403349285	193581.543694251	4769.56904861607	113.649483182599	3.4090895686367	52.5193655040544	418.560270774173
"I10d1.0b"	"Immature"	"10d"	1	"b"	40.4954486486807	11343.1600035484	710.512333822786	3.65247677782601	208352.469272869	4827.17238734681	138.270433439543	6.54462268959198	62.5793227546661	518.758195265615
"I10d1.0c"	"Immature"	"10d"	1	"c"	27.4814570215641	9847.20958627566	566.261436046924	1.93729445671374	161667.031571626	4308.7418328073	134.524669130931	5.43954121979934	72.8186646551899	525.791691542421
"M24h0.0a"	"Mature"	"24h"	0	"a"	28.8654813036852	12512.0144581464	542.739405100141	4.74454391868148	232607.55825566	4519.82550920426	54.0659746526477	4.57558236129917	74.7192072878032	700.531864963143
"M24h0.0b"	"Mature"	"24h"	0	"b"	19.3998677039852	10666.8641802646	353.714230448567	3.98538483426785	167210.029483734	4437.80435892005	40.3958894148528	2.77891446424922	75.1327185718443	758.521676674178
"M24h0.0c"	"Mature"	"24h"	0	"c"	42.7172442079547	11771.0730367485	400.464597887979	4.68722000644724	197787.198637562	4633.66327559682	52.943324507558	16.6788029058198	80.7338957442968	960.280231818197
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	19.0233754550259	11804.5647619868	446.596761989619	3.49188104926776	208190.795886147	4464.08899809122	46.0939391864091	1.80790566657535	61.1292119278419	745.223748946741
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	17.0469828612423	11584.8007593666	439.911604989361	2.82538254242353	199441.072075215	3959.41926770191	32.2813074521483	6.19628609578923	86.9787622287255	582.698947698024
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	29.2813472598282	11362.2026942653	292.570744473322	4.04168661497682	193442.239747659	4269.07503352589	45.12837781518	12.7636474310336	79.5070834992358	988.768982334657
"M24h1.0a"	"Mature"	"24h"	1	"a"	16.3257658501695	11433.124938051	283.203626881974	3.61781566976704	201348.909404282	3897.05022934257	29.5998494548377	4.74673599253553	54.4086677651887	550.511931230488
"M24h1.0b"	"Mature"	"24h"	1	"b"	19.3567796455135	12169.7419384674	388.90211067722	3.57670058511714	221834.19453045	4227.44813562555	33.6011638380749	2.66958252529135	79.4864631287043	777.631576192614
"M24h1.0c"	"Mature"	"24h"	1	"c"	21.9504110315478	11599.169168155	236.178333874014	2.87191425891272	208711.574103008	3865.69051918223	42.1055037621853	6.70740349858419	90.8925618558107	871.990082570675
"M10d0.0a"	"Mature"	"10d"	0	"a"	22.681540666841	9553.72005993751	580.726772084987	3.89497800734647	139461.712467412	4306.61809456714	51.8382314763156	4.36023921969467	33.2215784447031	2601.8625583351
"M10d0.0b"	"Mature"	"10d"	0	"b"	10.8084515320498	9577.85961740131	178.562481240266	2.7517202094115	139363.319137802	3561.72611232992	80.3047481307137	2.49881425827555	146.67449906487	5384.9636098332
"M10d0.0c"	"Mature"	"10d"	0	"c"	20.1641975540672	8472.3312337502	342.155941379809	4.63890766607349	95590.4482653021	4992.77569955244	89.1475349425525	4.24697881787762	96.6004103833819	17782.4925217576
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	12.5523034681438	9393.43007304763	300.89294075783	4.62076002920032	124452.416564529	4157.64865328804	52.8314104119996	2.55532978514664	89.3330718424791	11603.6817667592
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	14.2834645042966	9368.32773846419	544.081141100708	4.63496054846886	123637.679804739	4426.72593174166	56.2630214961647	0.917226349930694	85.5327061944505	13180.5466616166
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	15.7415196740544	9256.45195706954	285.722028504571	4.66147583335298	127231.121295849	4260.50127231423	82.8177200534996	5.53345087683831	120.824873544063	14227.2470200228
"M10d1.0a"	"Mature"	"10d"	1	"a"	14.722085175938	11451.3765503672	263.96880383614	3.28300076702565	230914.772746533	3299.56443408442	47.39839620577	2.7852295983312	100.560207837603	1668.75643280116
"M10d1.0b"	"Mature"	"10d"	1	"b"	16.3801988547777	9078.81143201505	271.114457652974	4.89336507415083	128230.745665063	3933.74857984898	74.081617939875	1.1947826661867	117.72985341997	16983.1356671534
"M10d1.0c"	"Mature"	"10d"	1	"c"	14.2156280323181	9019.90972110488	308.345425341011	3.83408524375702	118889.51602591	3898.27106658844	62.9003880891521	1.91100809967828	101.636728874161	17868.1312456076
