"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"PHENETHYLAMINE"	"RETINOIC ACID"	"STEAROYL-L-CARNITINE"	"TRICOSANOIC ACID"	"VITAMIN K1 (PHYLLOQUINONE)"	"3-METHYGLUTARIC ACID"	"3-SULFINO-L-ALANINE"	"3ALPHA-HYDROXY-5BETA-CHOLANATE"	"5'-CMP"	"D-(+)-GALACTURONIC ACID"
"I10d0.0c"	"Immature"	"10d"	0	"c"	1.8392856979074	5.95193852398376	1341.86460726281	16.1031681104748	58.7335357622114	19.6923437861293	24.5242948847218	28.9301516299748	99.8338272332035	10.9228646078851
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	2.34567725540175	6.05085771083431	1067.94557483472	16.7701088762202	39.9736169241219	14.361218033565	19.9709508235194	25.5456200912159	65.7375977056931	7.65774824980308
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	4.1827462530807	16.5761659449731	890.981359245053	29.4049891172022	29.1330659040073	12.1550375859249	20.2824914256167	25.7896671193064	66.4854939879418	10.5474777299476
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	1.36123360762361	10.5533743526378	1375.13552249668	12.057712452558	37.5253128843678	14.4245398950483	18.7080353171604	23.1423845275427	89.5335792022596	7.77907912826718
"I10d1.0a"	"Immature"	"10d"	1	"a"	1.7200923695218	36.4083065084998	763.438942111269	13.9178657100318	41.0064877620776	9.45376736169419	14.498754178666	19.2992206254884	42.8870494839489	5.99933055364719
"I10d1.0b"	"Immature"	"10d"	1	"b"	0.611347297551936	28.9815424616035	717.663858560088	18.7602100205051	45.9729055011089	9.1285950214948	15.3490159295395	29.1160617581856	46.8941682135728	5.65519051661366
"I10d1.0c"	"Immature"	"10d"	1	"c"	2.08748819155076	9.86203544035937	774.39334441416	20.8991621039929	47.3091651447225	9.30573717796616	14.179665503181	22.1298390525378	41.609032082963	6.98398133308807
"M24h0.0a"	"Mature"	"24h"	0	"a"	0.848084637491648	43.7287491688533	888.018027198365	12.7708841120844	110.61029749929	7.02080444782547	22.7142933952143	27.2010175693175	25.363146770681	6.24861654666793
"M24h0.0b"	"Mature"	"24h"	0	"b"	1.6846671519406	9.59116304459024	1671.18768536704	16.2182280996953	47.8161874514876	7.63563438366621	19.2649271469946	23.6977934579798	35.1883897728832	4.94664414607742
"M24h0.0c"	"Mature"	"24h"	0	"c"	1.57361516827445	17.3704063358846	1791.97763469756	22.5094254891002	39.1537739397512	8.05557451362514	23.3089693879148	27.3139117346996	24.3910369413822	7.80548899198221
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	1.53226721076236	13.7235207669037	2005.83957868658	21.2254226061871	37.2499852265839	6.75762773382971	17.2008109155394	22.6638035832193	24.3011789991122	6.66886628949277
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	0.694555414392312	11.5398011280175	1323.85643165011	15.8982732526174	35.2741851501311	6.50545926245962	9.78448319663881	17.0754000053076	16.7436144115169	5.98494708543818
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	2.16040375207219	22.9399139114814	2118.94037433295	22.5919853688265	36.7627477048543	6.40391867311781	13.00932627984	24.0159301641639	22.7880749864428	5.79330230523854
"M24h1.0a"	"Mature"	"24h"	1	"a"	1.2912462455685	11.1328474757691	1714.76208140709	19.2493282678795	46.9982728797863	5.32317621943629	12.7119557265519	18.1146481830696	18.5130350160057	8.16559731750772
"M24h1.0b"	"Mature"	"24h"	1	"b"	1.05730112782769	9.06695630579741	1374.88242937174	13.2037145058353	37.0576382185788	8.10990920443057	10.9682162332106	20.9903068306135	15.5352570333858	6.18055028099911
"M24h1.0c"	"Mature"	"24h"	1	"c"	1.89837820871416	10.0161947410213	2089.72425163729	24.304160953841	59.9022450190223	5.75942338771888	15.5290639700438	23.5744928660989	15.243804795012	8.32153163751493
"M10d0.0a"	"Mature"	"10d"	0	"a"	3.87282805080959	23.1616092637888	4379.7757273501	37.0301482458005	29.3800179650272	7.49490968267667	21.7711537056744	20.8732133059832	23.368682893328	5.90300555260376
"M10d0.0b"	"Mature"	"10d"	0	"b"	2.19812523601637	16.3301333644765	2176.15502126031	14.6624365870819	44.7958156903969	9.59441223204766	24.079432440646	18.8807582469251	15.7619646190739	8.49437605958004
"M10d0.0c"	"Mature"	"10d"	0	"c"	0	13.3729748187159	4209.19810560399	10.0794566845456	51.3576110007999	10.0311853149513	33.8818406227549	22.1288018431672	29.3646502885152	11.1297008421514
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	0	84.1634438140605	2775.77866480895	7.58220756679868	37.6039437674033	8.35122640860599	17.3763473951129	33.5218584341037	30.744033242966	10.5101439147178
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	0	6.15768736847365	3203.7057713922	7.80528610280345	26.6415555946513	9.56344113444348	34.6850694349908	22.7637071589877	27.2163188592874	9.07186559342045
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	1.64742332239849	6.45933343744123	2801.81630685793	16.6192080520126	37.3466761351643	14.8925714046819	28.9311187295246	24.0250910810481	21.9033309299556	8.50619309018607
"M10d1.0a"	"Mature"	"10d"	1	"a"	1.07406347358617	7.01159900913748	1599.16780672538	17.5568374460317	40.5201485312487	5.56012108164377	12.4806844544434	21.5995135886744	15.0431820751913	6.28283233899473
"M10d1.0b"	"Mature"	"10d"	1	"b"	0.118388512894071	9.73068282323852	2708.12256082303	28.6697259154377	43.712486344735	7.32434126255106	21.3709920227136	23.7788655699724	21.3927844636924	7.09126590963601
"M10d1.0c"	"Mature"	"10d"	1	"c"	0	25.4924304457075	1884.04991291205	7.92880536545249	33.1573853657544	6.80721109347442	32.2801474247646	26.3916064792821	14.8237632906748	5.63415544522908
