"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"CHOLINE"	"CREATINE"	"CREATININE"	"CYTIDINE"	"CYTOSINE"	"D-SORBITOL"	"DEOXYCARNITINE"	"DEOXYCYTIDINE"	"DOPAMINE"	"GLUTARYLCARNITINE"
"I10d0.0c"	"Immature"	"10d"	0	"c"	28974.2916163456	16209.7060060059	438.407717241373	243.96406057272	186.136378365647	87.7782938020474	204.015577365325	592.633192911302	15.0094642169854	4.6577076128364
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	22509.7375762465	12605.5073723348	242.77886414344	105.982457380581	129.531893504382	22.4335402203681	104.822386275644	509.66729092739	14.6359937825787	18.610274914534
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	19388.5584455476	11192.1295675685	138.075735350452	89.0493803195713	80.7289115267248	43.4234074873205	76.0730223245889	219.867458165648	10.9825708098648	19.5042731278593
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	26064.2939532987	13928.4396137407	328.260614410891	201.10707903961	200.891667136241	55.3692375583238	125.177062851136	571.695456463923	20.5078615625925	11.9504666559232
"I10d1.0a"	"Immature"	"10d"	1	"a"	21528.5805233278	11781.928930804	216.180415184516	122.383186067542	106.597865950862	21.0411814677201	66.1530851143917	450.868128817271	7.13205778750045	10.5210644874623
"I10d1.0b"	"Immature"	"10d"	1	"b"	25906.7305848673	13536.7339852778	108.929985786489	149.037073447266	129.558303917386	27.1164777729969	97.7625693250682	379.908916483455	7.55050174400839	10.2080908163463
"I10d1.0c"	"Immature"	"10d"	1	"c"	19527.0456341847	11474.7467238255	137.543998442171	169.661701622231	109.349265592366	44.3547550880994	72.7775592029037	297.070851955867	9.05219395772442	7.38815397074791
"M24h0.0a"	"Mature"	"24h"	0	"a"	23713.4738475112	9703.08194015899	93.7184582186876	93.5219303266224	79.1156819083541	40.2136133746022	45.6701289160229	118.923352067287	19.6646905237821	7.29104869924396
"M24h0.0b"	"Mature"	"24h"	0	"b"	20656.8100051725	9619.13478700717	145.984257045926	100.969926967739	66.725706248807	21.9644624449577	45.3373225385826	112.974047331127	13.112734781015	8.46745200842001
"M24h0.0c"	"Mature"	"24h"	0	"c"	28874.8891385165	12154.5629346191	150.861419069304	181.080339963154	105.857686247991	95.6227684850103	71.0796946124286	110.431339193562	10.8918235760577	20.4153957707228
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	22153.9968591156	9747.43002318762	136.457085243196	110.245586855343	70.749532381284	23.9304323902029	46.3419339035916	116.623094240248	12.0482197937984	6.16424372587962
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	20599.2052601447	8952.14531372873	97.3521074082131	71.2476143823616	63.4459248295217	23.9009512336624	34.7353353956787	78.2740487063116	10.6543195133559	4.83315196728095
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	23787.9562118233	9932.24087516293	99.5240357012772	140.317325965821	78.5625488650588	21.3330050952134	55.6382402780445	107.224121986105	12.5729113560193	6.61322817391703
"M24h1.0a"	"Mature"	"24h"	1	"a"	17173.0502952283	8204.10571289204	93.9429648074623	62.7674736490129	51.5757550852824	21.9429015895322	40.8536218738341	79.4465798028188	17.3901715212491	7.10057563985885
"M24h1.0b"	"Mature"	"24h"	1	"b"	21475.4006662586	9713.92391428255	78.240793259002	102.8817509438	83.7997476531672	32.9437108531557	51.1569078023276	97.1980529444045	13.3163666241944	10.7554139695003
"M24h1.0c"	"Mature"	"24h"	1	"c"	21534.3702174376	9567.47178991125	55.7324152632631	80.8914155105053	66.0933767668076	50.9050336054712	44.611630629399	76.2859901601875	10.9932153006019	2.27034806971742
"M10d0.0a"	"Mature"	"10d"	0	"a"	21713.8146798652	10214.0934547125	88.2835938051653	196.225208155681	145.510586700284	17.8538110432681	64.0257552104185	117.762544566084	13.732218652764	6.71372633343506
"M10d0.0b"	"Mature"	"10d"	0	"b"	19462.2865899911	9590.20788348478	83.889842031564	176.636755792195	131.467071009414	11.4389220371965	35.3600444261027	121.421655860206	11.0645105548504	7.07758554957866
"M10d0.0c"	"Mature"	"10d"	0	"c"	19025.7381350094	10406.6804633143	79.1436756158507	335.884504708386	104.541083845669	8.59962181974887	78.9005817350338	171.949672625659	10.9388448331084	9.54263667496345
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	19379.6082948405	10538.8530436361	82.4509380674124	214.748786625679	70.7856001300878	5.98332734305173	42.0719870337626	101.983602687495	7.19704575368091	8.64879319392334
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	19987.0055619407	10802.9828332507	98.5207867974121	224.698006163161	89.4994770869254	10.4954959696706	64.7508588002742	119.595314614232	11.6104302514576	7.94399422096932
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	20454.046556096	10625.498987594	96.9050468925524	226.958234073982	115.259614918378	8.91559367422555	67.0577468326448	146.824885131144	18.1458789898497	19.6738579621457
"M10d1.0a"	"Mature"	"10d"	1	"a"	16880.4149976563	9367.83799806838	60.3429813193223	150.192093724761	81.6333791500453	11.6253423132651	65.6265577448637	76.6548549899898	6.26086502930579	15.8189965434807
"M10d1.0b"	"Mature"	"10d"	1	"b"	19930.4803974486	10222.5510798316	85.652771363324	301.10384457004	107.379982849748	5.66872608221423	76.5377645792935	132.137200116319	7.90825529691139	9.91527319065899
"M10d1.0c"	"Mature"	"10d"	1	"c"	17058.4326312406	9210.29850605813	57.5170769272136	228.560337002808	83.383264782891	7.35670456352782	78.9868741500126	90.1096158290738	8.13399943521736	13.6974718167116
